ID,Progress,Duration,Finished,grit_pass1,grit_pass2,grit_pass3,grit_pass4,grit_pers1,grit_pers2,grit_pers3,grit_pers4,selfcont1,selfcont2,selfcont3,selfcont4,curiosity1,curiosity2,curiosity3,curiosity4,mindset1,mindset2,mindset3,mindset4,Happy,Sad,Anxious,Joyful,Angry,Relaxed,LS,SES_1,SES_2,SES_3,SES_4,SES_5,SES_6,SES_7,SES_8,white,black,asian,hispanic,amindian,pacisl,multirace,female,grade,gpa_mp1,gpa_mp2,gpa_mp3
1,100,807,1,5,4,4,1,3,2,3,3,1,2,3,1,1,4,2,3,2,2,5,6,5,5,5,5,1,1,2,Off,Off,Off,On,Off,Off,Off,Off,0,1,0,0,0,0,0,0,10,85.914,78.876,76.592
2,100,928,1,5,5,2,1,5,5,5,5,1,5,1,3,5,3,1,5,5,5,5,5,3,3,4,4,2,3,5,Off,Off,Off,Off,Off,Off,Off,Off,0,1,0,0,0,0,0,0,11,73.43333333,76.59833333,82.17
3,100,1130,1,2,3,2,5,2,1,2,3,1,1,1,1,3,1,4,4,3,5,6,5,5,1,4,4,1,1,4,Off,Off,Off,Off,On,Off,Off,Off,0,0,0,1,0,0,0,0,9,80.15833333,76.52666667,74.25833333
4,100,715,1,3,5,2,5,2,5,3,5,2,3,3,3,4,5,4,4,3,2,3,6,2,5,5,2,4,1,3,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,1,8,91.175,81.81666667,87.86666667
5,100,573,1,5,1,3,NA,3,4,2,5,2,4,3,2,3,1,5,5,6,6,6,6,4,1,5,5,1,NA,5,Off,Off,Off,On,Off,Off,Off,Off,1,0,0,0,0,0,0,1,11,86.374,81.866,82.364
6,84,1016,0,1,5,3,5,3,3,4,4,1,3,3,2,4,4,2,2,NA,NA,NA,NA,5,3,3,4,3,3,3,Off,Off,On,Off,Off,Off,Off,Off,0,1,0,0,0,0,0,1,9,92.926,94.608,95.39
7,100,936,1,1,4,4,5,3,5,5,4,3,2,4,3,2,5,3,4,3,3,5,4,3,4,4,3,1,3,4,Off,Off,Off,On,Off,Off,Off,Off,0,0,0,1,0,0,0,1,11,92.6625,94.8925,94.1275
8,100,929,1,3,3,4,2,4,3,3,4,2,2,2,2,2,5,2,2,5,4,4,4,5,3,3,4,4,3,4,Off,Off,Off,Off,On,Off,Off,Off,0,1,0,0,0,0,0,1,10,76.54,73.405,76.46
9,100,1219,1,5,5,5,5,5,4,5,5,4,5,4,5,5,5,4,3,5,5,4,4,5,2,2,5,2,3,5,Off,Off,On,Off,Off,Off,Off,Off,0,1,0,0,0,0,0,1,12,85.50333333,79.03,72.00333333
10,100,962,1,3,4,4,4,3,2,2,3,2,1,2,3,1,4,2,2,3,3,5,4,3,3,4,2,2,3,3,Off,Off,Off,Off,On,Off,Off,Off,1,0,0,0,0,0,0,0,12,80.025,66.41,75.575
